Superficie,Tourney_Level,Cat_Rank,Cat_Age,Cat_Ht,Fav_Hand,Hand_Matchup,Cat_Ace,Cat_DF,Cat_ServiceWinPerc,Risultato_Favorevole
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Medio,Medio,Superiore,Vittoria
Hard,A,FavoritoNetto,Inferiore,Inferiore,R,StessaMano,Medio,Medio,Inferiore,Vittoria
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Inferiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Medio,Medio,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,Opposta,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Medio,Medio,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Medio,Medio,Superiore,Vittoria
Hard,A,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,A,Equilibrato,Inferiore,Superiore,R,StessaMano,Superiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Medio,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Medio,Inferiore,R,StessaMano,Medio,Inferiore,Inferiore,Vittoria
Hard,A,Equilibrato,Medio,Medio,R,StessaMano,Medio,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Medio,Inferiore,R,StessaMano,Superiore,Medio,Superiore,Vittoria
Hard,A,FavoritoMedio,Medio,Inferiore,L,Opposta,Medio,Medio,Medio,Vittoria
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Medio,Inferiore,Medio,Vittoria
Hard,A,Equilibrato,Superiore,Medio,R,StessaMano,Inferiore,Superiore,Medio,Vittoria
Hard,A,FavoritoNetto,Inferiore,Medio,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Medio,Superiore,R,StessaMano,Inferiore,Medio,Medio,Sconfitta
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Medio,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Inferiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Superiore,Medio,L,Opposta,Medio,Superiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Inferiore,R,StessaMano,Inferiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Medio,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Medio,Superiore,R,StessaMano,Superiore,Superiore,Superiore,Vittoria
Hard,A,Equilibrato,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Medio,Medio,Medio,Vittoria
Hard,A,FavoritoNetto,Medio,Inferiore,L,Opposta,Medio,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Inferiore,Medio,R,StessaMano,Superiore,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Superiore,R,StessaMano,Superiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Medio,L,Opposta,Medio,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Medio,Medio,R,StessaMano,Medio,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Medio,Inferiore,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Medio,Inferiore,L,Opposta,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoNetto,Medio,Superiore,R,StessaMano,Superiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Medio,R,StessaMano,Inferiore,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Medio,Superiore,R,StessaMano,Superiore,Superiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Medio,Inferiore,L,Opposta,Superiore,Inferiore,Medio,Vittoria
Hard,A,Equilibrato,Medio,Superiore,R,StessaMano,Superiore,Superiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Medio,Inferiore,L,Opposta,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Superiore,L,StessaMano,Medio,Inferiore,Inferiore,Sconfitta
Hard,A,Equilibrato,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,Equilibrato,Medio,Medio,R,StessaMano,Medio,Inferiore,Medio,Sconfitta
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,Equilibrato,Superiore,Inferiore,R,StessaMano,Inferiore,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Medio,Superiore,R,Opposta,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Superiore,Inferiore,Medio,Vittoria
Hard,A,Equilibrato,Medio,Medio,L,Opposta,Medio,Superiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Medio,Inferiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Medio,Superiore,Vittoria
Hard,A,Equilibrato,Medio,Inferiore,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Inferiore,L,Opposta,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Inferiore,R,Opposta,Medio,Superiore,Medio,Vittoria
Hard,A,Equilibrato,Superiore,Medio,R,StessaMano,Medio,Superiore,Medio,Vittoria
Hard,A,FavoritoNetto,Medio,Superiore,R,StessaMano,Superiore,Inferiore,Medio,Sconfitta
Hard,A,FavoritoMedio,Superiore,Inferiore,R,Opposta,Inferiore,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,Opposta,Superiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Medio,Superiore,R,StessaMano,Superiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Medio,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Vittoria
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,Equilibrato,Medio,Superiore,R,StessaMano,Superiore,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Medio,Inferiore,R,StessaMano,Inferiore,Medio,Superiore,Vittoria
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Medio,Superiore,R,StessaMano,Superiore,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Medio,Superiore,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Medio,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Medio,Superiore,R,Opposta,Superiore,Inferiore,Inferiore,Sconfitta
Hard,A,Equilibrato,Medio,Superiore,R,StessaMano,Medio,Superiore,Medio,Vittoria
Hard,A,Equilibrato,Medio,Inferiore,R,StessaMano,Inferiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Medio,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Medio,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Medio,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Medio,Medio,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Inferiore,L,Opposta,Inferiore,Medio,Inferiore,Sconfitta
Hard,A,Equilibrato,Superiore,Inferiore,R,StessaMano,Inferiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Medio,Inferiore,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,Opposta,Superiore,Medio,Superiore,Vittoria
Hard,A,Equilibrato,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,A,Equilibrato,Inferiore,Superiore,R,StessaMano,Superiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Superiore,Medio,R,StessaMano,Inferiore,Medio,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Medio,Superiore,Inferiore,Sconfitta
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Medio,Medio,Vittoria
Hard,A,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Medio,Superiore,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,A,Equilibrato,Inferiore,Superiore,R,StessaMano,Inferiore,Medio,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,A,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,L,Opposta,Medio,Medio,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Medio,R,StessaMano,Superiore,Inferiore,Medio,Sconfitta
Hard,G,FavoritoMedio,Medio,Inferiore,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Medio,Superiore,R,StessaMano,Superiore,Superiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Superiore,Medio,R,StessaMano,Inferiore,Medio,Inferiore,Vittoria
Hard,G,FavoritoMedio,Medio,Medio,R,Opposta,Superiore,Medio,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Inferiore,Inferiore,R,StessaMano,Superiore,Inferiore,Medio,Vittoria
Hard,G,FavoritoMedio,Inferiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Superiore,Superiore,R,StessaMano,Medio,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Superiore,Superiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Medio,R,Opposta,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Medio,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Inferiore,Superiore,Medio,Vittoria
Hard,G,FavoritoNetto,Medio,Medio,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,L,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Superiore,Medio,L,StessaMano,Medio,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Superiore,Medio,L,Opposta,Superiore,Medio,Superiore,Vittoria
Hard,G,Equilibrato,Inferiore,Inferiore,R,StessaMano,Superiore,Superiore,Inferiore,Sconfitta
Hard,G,Equilibrato,Superiore,Inferiore,R,Opposta,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Superiore,L,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Medio,Superiore,R,Opposta,Medio,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Medio,Medio,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Medio,Medio,R,Opposta,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,Equilibrato,Medio,Medio,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Medio,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Vittoria
Hard,G,FavoritoNetto,Superiore,Medio,L,Opposta,Superiore,Medio,Medio,Vittoria
Hard,G,Equilibrato,Medio,Inferiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Superiore,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Superiore,L,Opposta,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Medio,Inferiore,R,StessaMano,Inferiore,Medio,Medio,Vittoria
Hard,G,FavoritoNetto,Medio,Superiore,R,Opposta,Superiore,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Inferiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,G,Equilibrato,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Medio,Vittoria
Hard,G,FavoritoMedio,Superiore,Medio,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Superiore,Medio,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Medio,Inferiore,R,Opposta,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoNetto,Medio,Medio,R,StessaMano,Medio,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Inferiore,Inferiore,R,StessaMano,Inferiore,Medio,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Inferiore,L,Opposta,Inferiore,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Medio,Superiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,R,StessaMano,Superiore,Medio,Superiore,Vittoria
Hard,G,FavoritoMedio,Medio,Inferiore,R,Opposta,Inferiore,Medio,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Superiore,Medio,R,StessaMano,Medio,Inferiore,Medio,Sconfitta
Hard,G,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Inferiore,Medio,Superiore,Vittoria
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Superiore,Inferiore,Medio,Vittoria
Hard,G,Equilibrato,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,R,StessaMano,Superiore,Medio,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Superiore,Inferiore,L,Opposta,Inferiore,Superiore,Medio,Vittoria
Hard,G,FavoritoMedio,Medio,Superiore,R,StessaMano,Superiore,Medio,Medio,Vittoria
Hard,G,FavoritoMedio,Inferiore,Medio,R,StessaMano,Superiore,Superiore,Inferiore,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Medio,Medio,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,L,Opposta,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Superiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Superiore,Medio,R,Opposta,Superiore,Inferiore,Medio,Sconfitta
Hard,G,FavoritoNetto,Inferiore,Inferiore,R,StessaMano,Inferiore,Medio,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoMedio,Inferiore,Medio,R,StessaMano,Superiore,Superiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Superiore,R,StessaMano,Superiore,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Medio,Medio,R,Opposta,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Superiore,Medio,L,StessaMano,Medio,Medio,Medio,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Medio,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Inferiore,Medio,L,StessaMano,Superiore,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Medio,Medio,R,Opposta,Superiore,Medio,Superiore,Vittoria
Hard,G,FavoritoMedio,Medio,Inferiore,R,StessaMano,Inferiore,Medio,Medio,Vittoria
Hard,G,FavoritoMedio,Superiore,Medio,L,Opposta,Superiore,Superiore,Medio,Sconfitta
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Superiore,R,Opposta,Inferiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,R,StessaMano,Superiore,Inferiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Medio,Superiore,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Medio,Inferiore,Medio,Vittoria
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Inferiore,Vittoria
Hard,G,FavoritoMedio,Medio,Medio,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,Opposta,Inferiore,Superiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,R,Opposta,Superiore,Medio,Superiore,Vittoria
Hard,G,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Medio,Medio,Vittoria
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Medio,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Medio,Inferiore,R,StessaMano,Medio,Superiore,Medio,Vittoria
Hard,G,FavoritoMedio,Medio,Inferiore,R,Opposta,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoMedio,Inferiore,Medio,R,StessaMano,Inferiore,Medio,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoNetto,Medio,Medio,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Medio,Inferiore,L,Opposta,Inferiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Inferiore,Inferiore,R,Opposta,Medio,Inferiore,Superiore,Vittoria
Hard,G,Equilibrato,Inferiore,Superiore,R,StessaMano,Superiore,Medio,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Superiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Medio,Medio,R,Opposta,Inferiore,Inferiore,Superiore,Vittoria
Hard,G,Equilibrato,Inferiore,Medio,L,Opposta,Inferiore,Inferiore,Inferiore,Sconfitta
Hard,G,Equilibrato,Medio,Medio,R,StessaMano,Superiore,Inferiore,Medio,Vittoria
Hard,G,FavoritoNetto,Superiore,Inferiore,R,StessaMano,Medio,Inferiore,Superiore,Vittoria
Hard,G,FavoritoNetto,Medio,Superiore,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Medio,Superiore,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoMedio,Inferiore,Superiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,G,Equilibrato,Medio,Inferiore,R,StessaMano,Inferiore,Superiore,Inferiore,Sconfitta
Hard,G,FavoritoMedio,Medio,Inferiore,R,StessaMano,Inferiore,Superiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Medio,Medio,R,StessaMano,Medio,Medio,Superiore,Vittoria
Hard,G,FavoritoMedio,Medio,Inferiore,L,Opposta,Superiore,Medio,Medio,Vittoria
Hard,G,FavoritoMedio,Inferiore,Medio,R,StessaMano,Superiore,Superiore,Medio,Vittoria
Hard,G,FavoritoNetto,Medio,Medio,R,StessaMano,Superiore,Inferiore,Superiore,Vittoria
Hard,G,Equilibrato,Superiore,Inferiore,R,StessaMano,Inferiore,Medio,Superiore,Vittoria
Hard,G,Equilibrato,Medio,Superiore,R,StessaMano,Inferiore,Superiore,Superiore,Vittoria
Hard,G,FavoritoMedio,Superiore,Inferiore,R,StessaMano,Inferiore,Inferiore,Superiore,Vittoria
Hard,G,Equilibrato,Medio,Inferiore,R,StessaMano,Superiore,Superiore,Medio,Vittoria
